id	filename	md5	size	state
dd1ad372-85d4-48c7-a1a7-25e13e320876	nationwidechildrens.org_ssf.TCGA-A2-A25A.xml	b3e0390a7cc2f2072f51a294a412526f	15795	released
7e4730f6-c5ba-4c49-9029-aede2f7a9acc	nationwidechildrens.org_ssf.TCGA-AQ-A04L.xml	0195a3ec0bf1576288a66e0d13b34c8c	15579	released
d456f7a7-889b-47f8-9a52-3f5a89a1f154	nationwidechildrens.org_ssf.TCGA-A8-A0AB.xml	6dd809b564665166f605990399a7baec	15694	released
9fd8984f-893e-4e03-8f6a-6544a9bfe973	nationwidechildrens.org_ssf.TCGA-A1-A0SM.xml	9154d88e5c889833bd4371432475e4b2	15698	released
7445e59a-917c-4b82-8ab5-980057f1ad6e	nationwidechildrens.org_ssf.TCGA-BH-A0RX.xml	7fc2cfb8fab7aa93b91bd93a21e31917	15628	released
501348c5-428b-4887-b4f1-c1be1df3ebd5	nationwidechildrens.org_ssf.TCGA-E9-A295.xml	ebae66fab3dd8eb639c71b89e0689f18	15657	released
05771a0b-c7bb-4c9b-879f-e37ad092e5dc	nationwidechildrens.org_ssf.TCGA-A7-A0CD.xml	5f58f04d6799fa2fec51ea8f6420e0ef	15637	released
731644dd-546d-4451-b008-7bbc4f50b3d2	nationwidechildrens.org_ssf.TCGA-V7-A7HQ.xml	930b653dc87f9f7b9c878a273bc091c2	14804	released
a2214696-6a10-4dae-8b8e-088e6953d53b	nationwidechildrens.org_ssf.TCGA-B6-A0RH.xml	b8f643da92d0a15f6c26b48faf042950	15631	released
6d6a2d35-b2bb-4e63-9d89-ec2e36ffabcb	nationwidechildrens.org_ssf.TCGA-AO-A126.xml	0efe22e97a426312c3b312a0c2159505	15756	released
11279457-5497-4171-afe5-e2d870b2d8bc	nationwidechildrens.org_ssf.TCGA-BH-A5J0.xml	0eae0e8bd6975a2e6a9e8890e947c694	14823	released
60271788-e3ba-4619-8696-d67490220db9	nationwidechildrens.org_ssf.TCGA-XX-A89A.xml	6094a559d93bd810546e4f135921a849	14795	released
5a6b1e50-cb6b-4d38-99f1-a85ef6c61102	nationwidechildrens.org_ssf.TCGA-AN-A0XT.xml	de74562d5c5a2d77db0a85b70c166399	14672	released
975dac86-2bf2-41ce-b068-e21bab705199	nationwidechildrens.org_ssf.TCGA-A2-A0YH.xml	a7f86cdf038b9e9f7f6b4eb45392c3de	15721	released
215f7caa-6ac2-4c05-9a0b-120a49f2648d	nationwidechildrens.org_ssf.TCGA-EW-A2FW.xml	88f1309bae6674ce3391d44247ca016a	15741	released
2425f5c3-dbb1-4a75-a3c1-446853e94324	nationwidechildrens.org_ssf.TCGA-AC-A2FF.xml	d6550b4a8cc0de3bcc3223e7f20a9a1d	15747	released
ec724415-86b1-4a71-8bd1-0d98690a635c	nationwidechildrens.org_ssf.TCGA-AC-A2FB.xml	72f578bf10b2eef82b77c8b60cb3789a	15753	released
ebb366b8-8f43-4d2b-a3dd-233c420cf027	nationwidechildrens.org_ssf.TCGA-A8-A08X.xml	76a9a11ce58301f038f8933d582de948	15704	released
3fb42fb4-766a-4958-be5f-802b69d86954	nationwidechildrens.org_ssf.TCGA-AR-A2LR.xml	879c58d340ce795788ee18643bd99130	15853	released
80d606ca-c1e8-42e3-9ae5-4d001168a0b0	nationwidechildrens.org_ssf.TCGA-A8-A09N.xml	691303485b7051edb07d87b3e6dbc07b	15697	released
53cf0a6a-544c-4a4f-ab18-976cf356cfd8	nationwidechildrens.org_ssf.TCGA-UL-AAZ6.xml	d61b65fc7011ba02abb58d69cfe182ce	14801	released
19fde071-ece0-4200-9780-ddc54f0e71d8	nationwidechildrens.org_ssf.TCGA-C8-A12Q.xml	707ced55e9385c2e9eca0b1605a8a1cb	15689	released
1b906694-d212-4228-92a5-8e47f57c30b4	nationwidechildrens.org_ssf.TCGA-D8-A27I.xml	a6011fb2c75c26f1a959679b7dcb2979	15661	released
28050525-6ca1-42b8-ab13-87dc383420bb	nationwidechildrens.org_ssf.TCGA-GM-A2DL.xml	9c0f06c79eef81a9000580acc4d2e6fe	15747	released
69a65331-68d0-4bfd-9c95-ee03dc1cb865	nationwidechildrens.org_ssf.TCGA-A8-A0A1.xml	66fa7c877dea2a08aeee15a49eebc612	15695	released
144d5c4e-81c8-47fb-8e6f-351dae8990b7	nationwidechildrens.org_ssf.TCGA-AC-A3W7.xml	566462be5372a19f1d4df0d521628e04	14828	released
a3198b17-fafd-43b7-9328-b76f281a08aa	nationwidechildrens.org_ssf.TCGA-BH-A18J.xml	4d15d2465977098f5b25887f8915594a	15757	released
238a2468-1e8f-4941-b1e5-5a9966eb3a7c	nationwidechildrens.org_ssf.TCGA-LD-A74U.xml	0bd73878799c83b1275cef3373e5c771	14951	released
256a81b3-56fd-45c1-a09c-043ca9dca439	nationwidechildrens.org_ssf.TCGA-LL-A6FR.xml	7822f88bd9a50c7d97ea42ab9bd98903	14785	released
4b34c88e-776e-4781-b2b8-7188a1d396ac	nationwidechildrens.org_ssf.TCGA-A8-A0A4.xml	f25abf4c4da801b22473420a8dfaddc5	15705	released
ac0ea9fa-a68e-469e-a893-19b7476ee8b7	nationwidechildrens.org_ssf.TCGA-E9-A3QA.xml	316e251eed89edd907bf5a5c8a58427a	14818	released
0c93fe84-25c1-4e9e-9d5b-73d5ed73b2d5	nationwidechildrens.org_ssf.TCGA-BH-A0BM.xml	8f812c01208d26b49bb02e4beea60e90	18847	released
fa8177b0-2e35-494c-bdf5-212db11a3d58	nationwidechildrens.org_ssf.TCGA-E2-A2P5.xml	6ea1f5881d9dd9df2c23b49239294e3d	15829	released
919b6f26-e44c-4977-9533-b05732bfdafb	nationwidechildrens.org_ssf.TCGA-BH-A0DX.xml	fa6f0ba474b999f427b1cc11eb07a8eb	15717	released
c27906e9-66d2-498f-ae5d-7ba4a0939680	nationwidechildrens.org_ssf.TCGA-A7-A4SB.xml	5f960ceddee371d26c8a4f59559135fd	14786	released
933f87a5-244d-47af-bd11-0e6b2e89e8c0	nationwidechildrens.org_ssf.TCGA-AN-A0FV.xml	2825e506e10fb3b5b73763af33598ce5	15519	released
513f276d-1e46-404d-bbb8-ab32bdf74598	nationwidechildrens.org_ssf.TCGA-A2-A04Q.xml	df160c8c1b42789f11e186c2f8a6ff34	15759	released
32f91133-1735-4fdf-8618-9c78902ff19b	nationwidechildrens.org_ssf.TCGA-C8-A12X.xml	df092405e5e0de4d251325c8cdfaffcf	15697	released
97548ca6-9053-43eb-a6e0-f646860e37bd	nationwidechildrens.org_ssf.TCGA-HN-A2NL.xml	fab25cefea746a753a5c8f820d681c7a	14726	released
0ac8670f-8660-43a2-af2b-e144999c5ea2	nationwidechildrens.org_ssf.TCGA-D8-A1XL.xml	82cd7aae30f3e1ea19bad584c7fa268a	15642	released
53e636e1-2842-465c-9434-1c626c184dbb	nationwidechildrens.org_ssf.TCGA-OL-A5RW.xml	65fe135a91fc818530ad3b78d1c980ab	15056	released
d3eca179-1550-4a3c-abf8-1748ff488649	nationwidechildrens.org_ssf.TCGA-S3-AA12.xml	4c487124fce99920d6fe030bbf36e69f	14821	released
4c61a181-3619-4d67-a8b9-58f0cc771baf	nationwidechildrens.org_ssf.TCGA-A2-A04X.xml	b8a24355882cd88e1f460be5cf37216c	15757	released
f6bded9f-7a02-422a-97f5-9feb76331d79	nationwidechildrens.org_ssf.TCGA-C8-A1HK.xml	c8031c2b8dd2d49626fe1136b5fc150b	15630	released
e74179e0-0391-4bcf-8aa6-04c4f5fa28ba	nationwidechildrens.org_ssf.TCGA-5L-AAT0.xml	e22f8bd4b97976c552e39bbf7c887c92	14881	released
